,movie_name,released_year,duration,certificate_type,rating,rating_count,directors,writers,actors
123,1917,2019,1h 59m,R,8.2,677K,['Sam Mendes '],"['Sam Mendes ', 'Krysty Wilson-Cairns ']","['Dean-Charles Chapman ', 'George MacKay ', 'Daniel Mays ']"
124,Bicycle Thieves,1948,1h 29m,Not Rated,8.3,175K,['Vittorio De Sica '],"['Cesare Zavattini ', 'Luigi Bartolini ', 'Oreste Biancoli ']","['Lamberto Maggiorani ', 'Enzo Staiola ', 'Lianella Carell ']"
125,Taxi Driver,1976,1h 54m,R,8.2,922K,['Martin Scorsese '],['Paul Schrader '],"['Robert De Niro ', 'Jodie Foster ', 'Cybill Shepherd ']"
126,Downfall,2004,2h 36m,R,8.2,376K,['Oliver Hirschbiegel '],"['Bernd Eichinger ', 'Joachim Fest ', 'Traudl Junge ']","['Bruno Ganz ', 'Alexandra Maria Lara ', 'Ulrich Matthes ']"
127,Dangal,2016,2h 41m,Not Rated,8.3,211K,['Nitesh Tiwari '],"['Piyush Gupta ', 'Shreyas Jain ', 'Nikhil Mehrotra ']","['Aamir Khan ', 'Sakshi Tanwar ', 'Fatima Sana Shaikh ']"
128,For a Few Dollars More,1965,2h 12m,R,8.2,275K,['Sergio Leone '],"['Sergio Leone ', 'Fulvio Morsella ', 'Luciano Vincenzoni ']","['Clint Eastwood ', 'Lee Van Cleef ', 'Gian Maria Volontè ']"
129,Batman Begins,2005,2h 20m,PG-13,8.2,1.6M,['Christopher Nolan '],"['Bob Kane ', 'David S. Goyer ', 'Christopher Nolan ']","['Christian Bale ', 'Michael Caine ', 'Ken Watanabe ']"
130,The Wolf of Wall Street,2013,3h,R,8.2,1.6M,['Martin Scorsese '],"['Terence Winter ', 'Jordan Belfort ']","['Leonardo DiCaprio ', 'Jonah Hill ', 'Margot Robbie ']"
131,Some Like It Hot,1959,2h 1m,Approved,8.2,284K,['Billy Wilder '],"['Billy Wilder ', 'I.A.L. Diamond ', 'Robert Thoeren ']","['Marilyn Monroe ', 'Tony Curtis ', 'Jack Lemmon ']"
132,Green Book,2018,2h 10m,PG-13,8.2,573K,['Peter Farrelly '],"['Nick Vallelonga ', 'Brian Hayes Currie ', 'Peter Farrelly ']","['Viggo Mortensen ', 'Mahershala Ali ', 'Linda Cardellini ']"
133,The Kid,1921,1h 8m,Passed,8.2,135K,['Charles Chaplin '],['Charles Chaplin '],"['Charles Chaplin ', 'Edna Purviance ', 'Jackie Coogan ']"
134,The Father,2020,1h 37m,PG-13,8.2,194K,['Florian Zeller '],"['Christopher Hampton ', 'Florian Zeller ']","['Anthony Hopkins ', 'Olivia Colman ', 'Mark Gatiss ']"
135,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,86K,['Stanley Kramer '],"['Abby Mann ', 'Montgomery Clift ']","['Spencer Tracy ', 'Burt Lancaster ', 'Richard Widmark ']"
136,The Truman Show,1998,1h 43m,PG,8.2,1.2M,['Peter Weir '],['Andrew Niccol '],"['Jim Carrey ', 'Ed Harris ', 'Laura Linney ']"
